tweet_id,retweets,favorites,creation_time
892420643555336193,6982,33725,2017-08-01 16:23:56+00:00
892177421306343426,5284,29252,2017-08-01 00:17:27+00:00
891815181378084864,3469,21988,2017-07-31 00:18:03+00:00
891689557279858688,7197,36809,2017-07-30 15:58:51+00:00
891327558926688256,7730,35194,2017-07-29 16:00:24+00:00
891087950875897856,2590,17748,2017-07-29 00:08:17+00:00
890971913173991426,1651,10336,2017-07-28 16:27:12+00:00
890729181411237888,15707,56674,2017-07-28 00:22:40+00:00
890609185150312448,3608,24453,2017-07-27 16:25:51+00:00
890240255349198849,6085,27869,2017-07-26 15:59:51+00:00
890006608113172480,6127,26970,2017-07-26 00:31:25+00:00
889880896479866881,4149,24504,2017-07-25 16:11:53+00:00
889665388333682689,8321,41918,2017-07-25 01:55:32+00:00
889638837579907072,3705,23588,2017-07-25 00:10:02+00:00
889531135344209921,1876,13312,2017-07-24 17:02:04+00:00
889278841981685760,4430,22033,2017-07-24 00:19:32+00:00
888917238123831296,3753,25545,2017-07-23 00:22:39+00:00
888804989199671297,3519,22394,2017-07-22 16:56:37+00:00
888554962724278272,2870,17267,2017-07-22 00:23:06+00:00
888078434458587136,2888,19101,2017-07-20 16:49:33+00:00
887705289381826560,4524,26544,2017-07-19 16:06:48+00:00
887517139158093824,9825,40607,2017-07-19 03:39:09+00:00
887473957103951883,14984,60022,2017-07-19 00:47:34+00:00
887343217045368832,8793,29496,2017-07-18 16:08:03+00:00
887101392804085760,4976,26904,2017-07-18 00:07:08+00:00
886983233522544640,6295,30286,2017-07-17 16:17:36+00:00
886736880519319552,2621,10473,2017-07-16 23:58:41+00:00
886680336477933568,3725,19676,2017-07-16 20:14:00+00:00
886366144734445568,2618,18508,2017-07-15 23:25:31+00:00
886267009285017600,4,105,2017-07-15 16:51:35+00:00
886258384151887873,5266,24462,2017-07-15 16:17:19+00:00
886054160059072513,93,0,2017-07-15 02:45:48+00:00
885984800019947520,5596,28528,2017-07-14 22:10:11+00:00
885528943205470208,5314,31527,2017-07-13 15:58:47+00:00
885518971528720385,3102,17956,2017-07-13 15:19:09+00:00
885311592912609280,15394,0,2017-07-13 01:35:06+00:00
885167619883638784,3659,19196,2017-07-12 16:03:00+00:00
884925521741709313,14973,67035,2017-07-12 00:01:00+00:00
884876753390489601,4652,24309,2017-07-11 20:47:12+00:00
884562892145688576,3901,21254,2017-07-11 00:00:02+00:00
884441805382717440,4782,23804,2017-07-10 15:58:53+00:00
884247878851493888,16859,63078,2017-07-10 03:08:17+00:00
884162670584377345,2497,17906,2017-07-09 21:29:42+00:00
883838122936631299,2852,19101,2017-07-09 00:00:04+00:00
883482846933004288,8236,40080,2017-07-08 00:28:19+00:00
883360690899218434,3062,19900,2017-07-07 16:22:55+00:00
883117836046086144,5516,32438,2017-07-07 00:17:54+00:00
882992080364220416,3232,20926,2017-07-06 15:58:11+00:00
882762694511734784,4083,24727,2017-07-06 00:46:41+00:00
882627270321602560,5050,24537,2017-07-05 15:48:34+00:00
882268110199369728,9598,39094,2017-07-04 16:01:23+00:00
882045870035918850,4071,25646,2017-07-04 01:18:17+00:00
881906580714921986,2843,21395,2017-07-03 16:04:48+00:00
881666595344535552,8926,44431,2017-07-03 00:11:11+00:00
881633300179243008,8,113,2017-07-02 21:58:53+00:00
881536004380872706,13364,43324,2017-07-02 15:32:16+00:00
881268444196462592,4487,20433,2017-07-01 21:49:04+00:00
880935762899988482,2329,15013,2017-06-30 23:47:07+00:00
880872448815771648,3195,18669,2017-06-30 19:35:32+00:00
880465832366813184,5202,24955,2017-06-29 16:39:47+00:00
880221127280381952,3456,23594,2017-06-29 00:27:25+00:00
880095782870896641,3639,24265,2017-06-28 16:09:20+00:00
879862464715927552,2917,19658,2017-06-28 00:42:13+00:00
879674319642796034,9,280,2017-06-27 12:14:36+00:00
879492040517615616,2624,20657,2017-06-27 00:10:17+00:00
879415818425184262,37298,92589,2017-06-26 19:07:24+00:00
879376492567855104,2639,14821,2017-06-26 16:31:08+00:00
879130579576475649,5721,0,2017-06-26 00:13:58+00:00
879050749262655488,3942,19761,2017-06-25 18:56:45+00:00
879008229531029506,2234,16735,2017-06-25 16:07:47+00:00
878776093423087618,3422,17089,2017-06-25 00:45:22+00:00
878604707211726852,5910,26371,2017-06-24 13:24:20+00:00
878404777348136964,1072,0,2017-06-24 00:09:53+00:00
878316110768087041,5511,0,2017-06-23 18:17:33+00:00
878281511006478336,1072,6762,2017-06-23 16:00:04+00:00
878057613040115712,5721,37065,2017-06-23 01:10:23+00:00
877736472329191424,15755,69033,2017-06-22 03:54:17+00:00
877611172832227328,70,0,2017-06-21 19:36:23+00:00
877556246731214848,3161,19853,2017-06-21 15:58:08+00:00
877316821321428993,4330,24096,2017-06-21 00:06:44+00:00
877201837425926144,4612,23810,2017-06-20 16:29:50+00:00
876838120628539392,2797,18178,2017-06-19 16:24:33+00:00
876537666061221889,3963,20991,2017-06-18 20:30:39+00:00
876484053909872640,1993,16524,2017-06-18 16:57:37+00:00
876120275196170240,3894,24637,2017-06-17 16:52:05+00:00
875747767867523072,3570,22051,2017-06-16 16:11:53+00:00
875144289856114688,4139,19376,2017-06-15 00:13:52+00:00
875097192612077568,5105,24196,2017-06-14 21:06:43+00:00
875021211251597312,3959,22506,2017-06-14 16:04:48+00:00
874680097055178752,3910,24538,2017-06-13 17:29:20+00:00
874434818259525634,12175,0,2017-06-13 01:14:41+00:00
874296783580663808,3473,22909,2017-06-12 16:06:11+00:00
874057562936811520,3371,20073,2017-06-12 00:15:36+00:00
874012996292530176,8570,30054,2017-06-11 21:18:31+00:00
873580283840344065,3337,21333,2017-06-10 16:39:04+00:00
873337748698140672,1326,0,2017-06-10 00:35:19+00:00
873213775632977920,1326,6307,2017-06-09 16:22:42+00:00
872967104147763200,4548,24004,2017-06-09 00:02:31+00:00
872820683541237760,3162,13038,2017-06-08 14:20:41+00:00
872620804844003328,3061,18283,2017-06-08 01:06:27+00:00
872486979161796608,7699,36022,2017-06-07 16:14:40+00:00
872122724285648897,6814,30138,2017-06-06 16:07:15+00:00
871879754684805121,9219,32997,2017-06-06 00:01:46+00:00
871762521631449091,2962,17838,2017-06-05 16:15:56+00:00
871515927908634625,2928,17860,2017-06-04 23:56:03+00:00
871166179821445120,4881,0,2017-06-04 00:46:17+00:00
871102520638267392,4662,18499,2017-06-03 20:33:19+00:00
871032628920680449,3216,20122,2017-06-03 15:55:36+00:00
870804317367881728,5272,29728,2017-06-03 00:48:22+00:00
870726314365509632,3,105,2017-06-02 19:38:25+00:00
870656317836468226,2198,10875,2017-06-02 15:00:16+00:00
870374049280663552,22694,73795,2017-06-01 20:18:38+00:00
870308999962521604,3541,19440,2017-06-01 16:00:09+00:00
870063196459192321,7058,32332,2017-05-31 23:43:25+00:00
869772420881756160,8672,37907,2017-05-31 04:27:59+00:00
869702957897576449,5369,24996,2017-05-30 23:51:58+00:00
869596645499047938,2630,14156,2017-05-30 16:49:31+00:00
869227993411051520,3193,18091,2017-05-29 16:24:37+00:00
868880397819494401,12223,57790,2017-05-28 17:23:24+00:00
868639477480148993,1746,0,2017-05-28 01:26:04+00:00
868622495443632128,4450,23590,2017-05-28 00:18:35+00:00
868552278524837888,1746,8946,2017-05-27 19:39:34+00:00
867900495410671616,3560,21548,2017-05-26 00:29:37+00:00
867774946302451713,6236,30190,2017-05-25 16:10:44+00:00
867421006826221569,2110,14314,2017-05-24 16:44:18+00:00
867072653475098625,101,0,2017-05-23 17:40:04+00:00
867051520902168576,6764,28647,2017-05-23 16:16:06+00:00
866720684873056260,4125,17838,2017-05-22 18:21:28+00:00
866686824827068416,2961,17084,2017-05-22 16:06:55+00:00
866450705531457537,30109,108596,2017-05-22 00:28:40+00:00
866334964761202691,12175,46488,2017-05-21 16:48:45+00:00
866094527597207552,7148,0,2017-05-21 00:53:21+00:00
865718153858494464,4830,22875,2017-05-19 23:57:46+00:00
865359393868664832,4277,23536,2017-05-19 00:12:11+00:00
865006731092295680,6648,24986,2017-05-18 00:50:50+00:00
864873206498414592,7488,28790,2017-05-17 16:00:15+00:00
864279568663928832,2576,13046,2017-05-16 00:41:21+00:00
864197398364647424,7570,26586,2017-05-15 19:14:50+00:00
863907417377173506,3581,18391,2017-05-15 00:02:33+00:00
863553081350529029,3622,13651,2017-05-14 00:34:33+00:00
863471782782697472,2089,0,2017-05-13 19:11:30+00:00
863432100342583297,4546,21251,2017-05-13 16:33:49+00:00
863427515083354112,80,1957,2017-05-13 16:15:35+00:00
863079547188785154,951,7874,2017-05-12 17:12:53+00:00
863062471531167744,2089,7512,2017-05-12 16:05:02+00:00
862831371563274240,4451,17181,2017-05-12 00:46:44+00:00
862722525377298433,3084,15305,2017-05-11 17:34:13+00:00
862457590147678208,4235,18238,2017-05-11 00:01:27+00:00
862096992088072192,19939,66059,2017-05-10 00:08:34+00:00
861383897657036800,9247,32221,2017-05-08 00:54:59+00:00
861288531465048066,3580,15315,2017-05-07 18:36:02+00:00
861005113778896900,3327,14967,2017-05-06 23:49:50+00:00
860981674716409858,1853,0,2017-05-06 22:16:42+00:00
860924035999428608,676,0,2017-05-06 18:27:40+00:00
860563773140209665,1853,6712,2017-05-05 18:36:06+00:00
860524505164394496,4593,21207,2017-05-05 16:00:04+00:00
860276583193509888,3061,16542,2017-05-04 23:34:55+00:00
860184849394610176,5111,14990,2017-05-04 17:30:24+00:00
860177593139703809,26668,0,2017-05-04 17:01:34+00:00
859924526012018688,3576,17587,2017-05-04 00:15:58+00:00
859851578198683649,3063,13952,2017-05-03 19:26:06+00:00
859607811541651456,1362,16796,2017-05-03 03:17:27+00:00
859196978902773760,26208,80259,2017-05-02 00:04:57+00:00
859074603037188101,11938,30362,2017-05-01 15:58:40+00:00
858860390427611136,7067,0,2017-05-01 01:47:28+00:00
858843525470990336,3021,14090,2017-05-01 00:40:27+00:00
858471635011153920,4248,19452,2017-04-30 00:02:42+00:00
858107933456039936,2536,14206,2017-04-28 23:57:28+00:00
857989990357356544,2263,14471,2017-04-28 16:08:49+00:00
857746408056729600,9326,30743,2017-04-28 00:00:54+00:00
857393404942143489,1438,5304,2017-04-27 00:38:11+00:00
857263160327368704,3968,18217,2017-04-26 16:00:39+00:00
857214891891077121,16,204,2017-04-26 12:48:51+00:00
857062103051644929,147,0,2017-04-26 02:41:43+00:00
857029823797047296,3480,17008,2017-04-26 00:33:27+00:00
856543823941562368,2543,14807,2017-04-24 16:22:16+00:00
856526610513747968,1651,10814,2017-04-24 15:13:52+00:00
856288084350160898,15,486,2017-04-23 23:26:03+00:00
856282028240666624,5569,25175,2017-04-23 23:01:59+00:00
855862651834028034,21,302,2017-04-22 19:15:32+00:00
855860136149123072,851,4403,2017-04-22 19:05:32+00:00
855857698524602368,1855,10843,2017-04-22 18:55:51+00:00
855851453814013952,16104,41833,2017-04-22 18:31:02+00:00
855818117272018944,4803,24247,2017-04-22 16:18:34+00:00
855459453768019968,7292,27042,2017-04-21 16:33:22+00:00
855245323840757760,5257,0,2017-04-21 02:22:29+00:00
855138241867124737,36,0,2017-04-20 19:16:59+00:00
854732716440526848,5338,20635,2017-04-19 16:25:34+00:00
854482394044301312,6008,26529,2017-04-18 23:50:52+00:00
854365224396361728,4140,17176,2017-04-18 16:05:17+00:00
854120357044912130,6584,29155,2017-04-17 23:52:16+00:00
854010172552949760,2787,14816,2017-04-17 16:34:26+00:00
853760880890318849,5112,26034,2017-04-17 00:03:50+00:00
853639147608842240,8859,31502,2017-04-16 16:00:07+00:00
853299958564483072,3166,14142,2017-04-15 17:32:18+00:00
852936405516943360,1786,0,2017-04-14 17:27:40+00:00
852912242202992640,1597,8246,2017-04-14 15:51:39+00:00
852672615818899456,1908,13626,2017-04-13 23:59:28+00:00
852553447878664193,3112,14884,2017-04-13 16:05:56+00:00
852311364735569921,8863,30308,2017-04-13 00:03:59+00:00
852226086759018497,6080,18308,2017-04-12 18:25:07+00:00
852189679701164033,1417,10564,2017-04-12 16:00:27+00:00
851591660324737024,3123,14931,2017-04-11 00:24:08+00:00
851464819735769094,6300,22228,2017-04-10 16:00:07+00:00
851224888060895234,5164,19017,2017-04-10 00:06:42+00:00
850753642995093505,8065,28104,2017-04-08 16:54:09+00:00
850380195714523136,2327,12061,2017-04-07 16:10:12+00:00
850333567704068097,301,3186,2017-04-07 13:04:55+00:00
850145622816686080,3388,15019,2017-04-07 00:38:06+00:00
850019790995546112,4364,18758,2017-04-06 16:18:05+00:00
849776966551130114,6806,27879,2017-04-06 00:13:11+00:00
849668094696017920,4440,0,2017-04-05 17:00:34+00:00
849412302885593088,2827,14657,2017-04-05 00:04:08+00:00
849336543269576704,1688,10543,2017-04-04 19:03:06+00:00
849051919805034497,7608,38942,2017-04-04 00:12:06+00:00
848690551926992896,3916,23245,2017-04-03 00:16:10+00:00
848324959059550208,4137,22799,2017-04-02 00:03:26+00:00
848213670039564288,645,7533,2017-04-01 16:41:12+00:00
848212111729840128,2713,15020,2017-04-01 16:35:01+00:00
847978865427394560,2918,0,2017-04-01 01:08:10+00:00
847971574464610304,394,0,2017-04-01 00:39:12+00:00
847962785489326080,4570,21710,2017-04-01 00:04:17+00:00
847842811428974592,1188,5009,2017-03-31 16:07:33+00:00
847617282490613760,376,6466,2017-03-31 01:11:22+00:00
847606175596138505,3079,17330,2017-03-31 00:27:14+00:00
847251039262605312,3913,18939,2017-03-30 00:56:03+00:00
847157206088847362,5247,18352,2017-03-29 18:43:12+00:00
847116187444137987,2872,19857,2017-03-29 16:00:12+00:00
846874817362120707,3546,18602,2017-03-29 00:01:05+00:00
846514051647705089,10366,41121,2017-03-28 00:07:32+00:00
846505985330044928,2756,13050,2017-03-27 23:35:28+00:00
846153765933735936,8162,29062,2017-03-27 00:15:53+00:00
846139713627017216,9158,28768,2017-03-26 23:20:02+00:00
846042936437604353,2585,14794,2017-03-26 16:55:29+00:00
845812042753855489,7853,26977,2017-03-26 01:38:00+00:00
845677943972139009,4372,23391,2017-03-25 16:45:08+00:00
845397057150107648,1620,7076,2017-03-24 22:08:59+00:00
845306882940190720,4851,21595,2017-03-24 16:10:40+00:00
845098359547420673,6935,0,2017-03-24 02:22:04+00:00
844979544864018432,2309,12659,2017-03-23 18:29:57+00:00
844973813909606400,2849,13920,2017-03-23 18:07:10+00:00
844580511645339650,2813,15280,2017-03-22 16:04:20+00:00
844223788422217728,1991,12695,2017-03-21 16:26:50+00:00
843981021012017153,2699,14092,2017-03-21 00:22:10+00:00
843856843873095681,4169,19942,2017-03-20 16:08:44+00:00
843604394117681152,2478,15679,2017-03-19 23:25:35+00:00
843235543001513987,5401,19949,2017-03-18 22:59:54+00:00
842846295480000512,3314,14207,2017-03-17 21:13:10+00:00
842765311967449089,1176,6293,2017-03-17 15:51:22+00:00
842535590457499648,3176,16891,2017-03-17 00:38:32+00:00
842163532590374912,5257,22701,2017-03-16 00:00:07+00:00
842115215311396866,2755,13019,2017-03-15 20:48:07+00:00
841833993020538882,13557,0,2017-03-15 02:10:39+00:00
841680585030541313,7149,24017,2017-03-14 16:01:03+00:00
841439858740625411,3319,11715,2017-03-14 00:04:30+00:00
841320156043304961,5016,18396,2017-03-13 16:08:50+00:00
841314665196081154,4234,14740,2017-03-13 15:47:01+00:00
841077006473256960,4881,21316,2017-03-13 00:02:39+00:00
840761248237133825,1622,0,2017-03-12 03:07:56+00:00
840728873075638272,14579,0,2017-03-12 00:59:17+00:00
840698636975636481,2,163,2017-03-11 22:59:09+00:00
840696689258311684,890,11469,2017-03-11 22:51:24+00:00
840632337062862849,1622,8418,2017-03-11 18:35:42+00:00
840370681858686976,4176,15317,2017-03-11 01:15:58+00:00
840268004936019968,5208,17877,2017-03-10 18:27:58+00:00
839990271299457024,2066,12515,2017-03-10 00:04:21+00:00
839549326359670784,7067,25546,2017-03-08 18:52:12+00:00
839290600511926273,132,0,2017-03-08 01:44:07+00:00
839239871831150596,5932,25197,2017-03-07 22:22:32+00:00
838952994649550848,3662,18339,2017-03-07 03:22:35+00:00
838921590096166913,1854,10407,2017-03-07 01:17:48+00:00
838916489579200512,31,0,2017-03-07 00:57:32+00:00
838831947270979586,10017,0,2017-03-06 19:21:35+00:00
838561493054533637,1231,10239,2017-03-06 01:26:54+00:00
838476387338051585,4339,20941,2017-03-05 19:48:43+00:00
838201503651401729,9178,0,2017-03-05 01:36:26+00:00
838150277551247360,303,1567,2017-03-04 22:12:52+00:00
838085839343206401,1,134,2017-03-04 17:56:49+00:00
838083903487373313,2840,16434,2017-03-04 17:49:08+00:00
837820167694528512,7148,31792,2017-03-04 00:21:08+00:00
837482249356513284,407,3602,2017-03-03 01:58:22+00:00
837471256429613056,2061,11967,2017-03-03 01:14:41+00:00
837110210464448512,2177,15051,2017-03-02 01:20:01+00:00
836989968035819520,2111,11937,2017-03-01 17:22:13+00:00
836753516572119041,4262,18102,2017-03-01 01:42:39+00:00
836677758902222849,2021,11820,2017-02-28 20:41:37+00:00
836648853927522308,508,0,2017-02-28 18:46:45+00:00
836397794269200385,25057,0,2017-02-28 02:09:08+00:00
836380477523124226,2745,13894,2017-02-28 01:00:19+00:00
836260088725786625,3978,19927,2017-02-27 17:01:56+00:00
836001077879255040,3889,17860,2017-02-26 23:52:43+00:00
835685285446955009,7413,0,2017-02-26 02:57:52+00:00
835574547218894849,3297,16633,2017-02-25 19:37:50+00:00
835536468978302976,1541,0,2017-02-25 17:06:32+00:00
835309094223372289,19141,0,2017-02-25 02:03:02+00:00
835297930240217089,2738,15424,2017-02-25 01:18:40+00:00
835264098648616962,1541,7228,2017-02-24 23:04:14+00:00
835246439529840640,63,1989,2017-02-24 21:54:03+00:00
835172783151792128,5289,24536,2017-02-24 17:01:22+00:00
835152434251116546,2757,20915,2017-02-24 15:40:31+00:00
834931633769889797,1490,10090,2017-02-24 01:03:08+00:00
834786237630337024,5106,20185,2017-02-23 15:25:23+00:00
834574053763584002,2313,12799,2017-02-23 01:22:14+00:00
834477809192075265,9758,0,2017-02-22 18:59:48+00:00
834458053273591808,1547,9019,2017-02-22 17:41:18+00:00
834209720923721728,4323,19232,2017-02-22 01:14:30+00:00
834167344700198914,3361,14810,2017-02-21 22:26:07+00:00
834089966724603904,1962,9430,2017-02-21 17:18:39+00:00
834086379323871233,2039,12222,2017-02-21 17:04:24+00:00
833863086058651648,2210,12599,2017-02-21 02:17:06+00:00
833826103416520705,3488,17059,2017-02-20 23:50:09+00:00
833732339549220864,205,0,2017-02-20 17:37:34+00:00
833722901757046785,2997,19649,2017-02-20 17:00:04+00:00
833479644947025920,1888,13979,2017-02-20 00:53:27+00:00
833124694597443584,4440,18966,2017-02-19 01:23:00+00:00
832998151111966721,2010,12411,2017-02-18 17:00:10+00:00
832769181346996225,38,0,2017-02-18 01:50:19+00:00
832757312314028032,3317,15822,2017-02-18 01:03:09+00:00
832682457690300417,2666,11133,2017-02-17 20:05:43+00:00
832645525019123713,484,2735,2017-02-17 17:38:57+00:00
832636094638288896,2560,14872,2017-02-17 17:01:29+00:00
832397543355072512,2036,11226,2017-02-17 01:13:34+00:00
832369877331693569,2918,16066,2017-02-16 23:23:38+00:00
832273440279240704,2144,10632,2017-02-16 17:00:25+00:00
832215909146226688,5714,0,2017-02-16 13:11:49+00:00
832215726631055365,8582,0,2017-02-16 13:11:05+00:00
832088576586297345,2,58,2017-02-16 04:45:50+00:00
832040443403784192,8811,0,2017-02-16 01:34:34+00:00
832032802820481025,4296,16751,2017-02-16 01:04:13+00:00
831939777352105988,5651,22454,2017-02-15 18:54:34+00:00
831926988323639298,34,319,2017-02-15 18:03:45+00:00
831911600680497154,5968,25811,2017-02-15 17:02:36+00:00
831670449226514432,1688,9774,2017-02-15 01:04:21+00:00
831650051525054464,1786,6675,2017-02-14 23:43:18+00:00
831552930092285952,2159,8440,2017-02-14 17:17:22+00:00
831322785565769729,1442,8753,2017-02-14 02:02:51+00:00
831315979191906304,1036,6171,2017-02-14 01:35:49+00:00
831309418084069378,2264,11080,2017-02-14 01:09:44+00:00
831262627380748289,1887,11141,2017-02-13 22:03:49+00:00
830956169170665475,1374,7494,2017-02-13 01:46:03+00:00
830583320585068544,15394,62302,2017-02-12 01:04:29+00:00
830173239259324417,5236,0,2017-02-10 21:54:58+00:00
830097400375152640,2694,9139,2017-02-10 16:53:37+00:00
829878982036299777,4595,0,2017-02-10 02:25:42+00:00
829861396166877184,1793,11498,2017-02-10 01:15:49+00:00
829501995190984704,9758,29847,2017-02-09 01:27:41+00:00
829449946868879360,1861,9860,2017-02-08 22:00:52+00:00
829141528400556032,6761,22864,2017-02-08 01:35:19+00:00
829011960981237760,15082,50194,2017-02-07 17:00:28+00:00
828801551087042563,3155,0,2017-02-07 03:04:22+00:00
828770345708580865,5390,24046,2017-02-07 01:00:22+00:00
828708714936930305,10309,34186,2017-02-06 20:55:28+00:00
828650029636317184,1234,8935,2017-02-06 17:02:17+00:00
828409743546925057,1078,6030,2017-02-06 01:07:28+00:00
828408677031882754,1184,7237,2017-02-06 01:03:14+00:00
828381636999917570,2056,11840,2017-02-05 23:15:47+00:00
828376505180889089,993,6972,2017-02-05 22:55:23+00:00
828372645993398273,2723,11842,2017-02-05 22:40:03+00:00
828361771580813312,165,2067,2017-02-05 21:56:51+00:00
828046555563323392,2651,11034,2017-02-05 01:04:17+00:00
828011680017821696,1984,9756,2017-02-04 22:45:42+00:00
827933404142436356,4824,18811,2017-02-04 17:34:40+00:00
827653905312006145,2790,14562,2017-02-03 23:04:02+00:00
827600520311402496,864,7055,2017-02-03 19:31:54+00:00
827324948884643840,2803,14929,2017-02-03 01:16:53+00:00
827199976799354881,2060,9985,2017-02-02 17:00:17+00:00
826958653328592898,4595,20272,2017-02-02 01:01:21+00:00
826848821049180160,9314,33986,2017-02-01 17:44:55+00:00
826615380357632002,3676,0,2017-02-01 02:17:19+00:00
826598799820865537,229,4847,2017-02-01 01:11:25+00:00
826598365270007810,2174,9425,2017-02-01 01:09:42+00:00
826476773533745153,3890,17342,2017-01-31 17:06:32+00:00
826240494070030336,2414,12498,2017-01-31 01:27:39+00:00
826204788643753985,855,4591,2017-01-30 23:05:46+00:00
826115272272650244,2866,14715,2017-01-30 17:10:04+00:00
825876512159186944,1735,9900,2017-01-30 01:21:19+00:00
825829644528148480,2328,11990,2017-01-29 22:15:05+00:00
825535076884762624,16324,53854,2017-01-29 02:44:34+00:00
825147591692263424,4168,17226,2017-01-28 01:04:51+00:00
825120256414846976,1166,0,2017-01-27 23:16:13+00:00
825026590719483904,1166,5890,2017-01-27 17:04:02+00:00
824796380199809024,5088,0,2017-01-27 01:49:15+00:00
824775126675836928,3265,14025,2017-01-27 00:24:48+00:00
824663926340194305,1640,9923,2017-01-26 17:02:56+00:00
824325613288833024,9865,11155,2017-01-25 18:38:36+00:00
824297048279236611,3561,14190,2017-01-25 16:45:05+00:00
824025158776213504,556,4570,2017-01-24 22:44:42+00:00
823939628516474880,2527,10036,2017-01-24 17:04:50+00:00
823719002937630720,10330,0,2017-01-24 02:28:08+00:00
823699002998870016,2332,13192,2017-01-24 01:08:40+00:00
823581115634085888,2435,12230,2017-01-23 17:20:14+00:00
823333489516937216,22,660,2017-01-23 00:56:15+00:00
823322678127919110,3712,14794,2017-01-23 00:13:17+00:00
823269594223824897,9195,0,2017-01-22 20:42:21+00:00
822975315408461824,3196,16345,2017-01-22 01:12:59+00:00
822872901745569793,39831,123742,2017-01-21 18:26:02+00:00
822859134160621569,2107,12426,2017-01-21 17:31:20+00:00
822647212903690241,5945,0,2017-01-21 03:29:14+00:00
822610361945911296,2725,13937,2017-01-21 01:02:48+00:00
822489057087389700,5945,17069,2017-01-20 17:00:46+00:00
822462944365645825,13109,26230,2017-01-20 15:17:01+00:00
822244816520155136,9195,33041,2017-01-20 00:50:15+00:00
822163064745328640,4366,0,2017-01-19 19:25:24+00:00
821886076407029760,2133,10656,2017-01-19 01:04:45+00:00
821813639212650496,3120,0,2017-01-18 20:16:54+00:00
821765923262631936,1555,7883,2017-01-18 17:07:18+00:00
821522889702862852,1628,7559,2017-01-18 01:01:34+00:00
821421320206483457,5119,0,2017-01-17 18:17:58+00:00
821407182352777218,3982,11069,2017-01-17 17:21:47+00:00
821153421864615936,9,234,2017-01-17 00:33:26+00:00
821149554670182400,1822,8092,2017-01-17 00:18:04+00:00
821107785811234820,1967,9048,2017-01-16 21:32:06+00:00
821044531881721856,2118,11923,2017-01-16 17:20:45+00:00
820837357901512704,6226,0,2017-01-16 03:37:31+00:00
820749716845686786,9178,29764,2017-01-15 21:49:15+00:00
820690176645140481,2995,11554,2017-01-15 17:52:40+00:00
820494788566847489,521,0,2017-01-15 04:56:16+00:00
820446719150292993,2388,0,2017-01-15 01:45:15+00:00
820314633777061888,521,3149,2017-01-14 17:00:24+00:00
820078625395449857,5774,18598,2017-01-14 01:22:35+00:00
820013781606658049,1080,0,2017-01-13 21:04:55+00:00
819952236453363712,1080,5012,2017-01-13 17:00:21+00:00
819924195358416896,4532,12201,2017-01-13 15:08:56+00:00
819711362133872643,2866,12576,2017-01-13 01:03:12+00:00
819588359383371776,1866,9144,2017-01-12 16:54:26+00:00
819347104292290561,1115,6814,2017-01-12 00:55:47+00:00
819238181065359361,379,2133,2017-01-11 17:42:57+00:00
819227688460238848,6226,21744,2017-01-11 17:01:16+00:00
819015337530290176,34474,0,2017-01-11 02:57:27+00:00
819015331746349057,17752,0,2017-01-11 02:57:26+00:00
819006400881917954,17752,42904,2017-01-11 02:21:57+00:00
819004803107983360,34474,82457,2017-01-11 02:15:36+00:00
818646164899774465,19398,0,2017-01-10 02:30:30+00:00
818627210458333184,7048,21175,2017-01-10 01:15:10+00:00
818614493328580609,2348,9284,2017-01-10 00:24:38+00:00
818588835076603904,5677,0,2017-01-09 22:42:41+00:00
818536468981415936,2265,10243,2017-01-09 19:14:36+00:00
818307523543449600,7441,0,2017-01-09 04:04:51+00:00
818259473185828864,2077,10386,2017-01-09 00:53:55+00:00
818145370475810820,2363,11598,2017-01-08 17:20:31+00:00
817908911860748288,739,4595,2017-01-08 01:40:55+00:00
817827839487737858,25057,48480,2017-01-07 20:18:46+00:00
817777686764523521,2518,10206,2017-01-07 16:59:28+00:00
817536400337801217,2723,11091,2017-01-07 01:00:41+00:00
817502432452313088,3134,0,2017-01-06 22:45:43+00:00
817423860136083457,13557,31779,2017-01-06 17:33:29+00:00
817415592588222464,886,5282,2017-01-06 17:00:38+00:00
817181837579653120,7845,0,2017-01-06 01:31:47+00:00
817171292965273600,1865,8288,2017-01-06 00:49:53+00:00
817120970343411712,2408,11522,2017-01-05 21:29:55+00:00
817056546584727552,1511,8118,2017-01-05 17:13:55+00:00
